global_index,group,source_file,true_label,reconstruction_error,classifier_attack_probability,prototype_attack_probability,distance_to_normal_prototype,distance_to_attack_prototype,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,normal,window_typing_10000.csv,0,1.0896753072738647,1.0955188827210804e-06,0.00016480297199450433,1.2815561294555664,3.0236752033233643,0.0,0.285892516374588,0.2915828824043274,0.0,0.27643823623657227,0.0,0.0,0.0,0.0,0.0,0.010679834522306919,0.2745344936847687,0.0,0.27522650361061096,0.0,0.0,0.2507498264312744,0.0,0.3294690251350403,0.2824324071407318,0.27584344148635864,0.0,0.22476936876773834,0.0,0.0,0.0,0.26127833127975464,0.2851967513561249,0.0,0.0,0.2796176075935364,0.0
1,normal,window_typing_10000.csv,0,0.8655385375022888,1.1090415910075535e-06,0.00017148077313322574,1.2868025302886963,3.0209760665893555,0.0,0.28676721453666687,0.2836388349533081,0.0,0.27779620885849,0.0,0.0,0.0,0.0,0.0,0.015028930269181728,0.27141207456588745,0.0,0.2773529887199402,0.0,0.0,0.25883957743644714,0.0,0.3295431435108185,0.2846989035606384,0.27389663457870483,0.0,0.22332195937633514,0.0,0.0,0.0,0.2597648501396179,0.2817282974720001,0.0,0.0,0.28449422121047974,0.0
2,normal,window_typing_10000.csv,0,0.7413926720619202,1.2501866422098828e-06,0.00019627244910225272,1.2976465225219727,3.0048086643218994,0.0,0.2835339903831482,0.2795918881893158,0.0,0.2710583508014679,0.0,0.0,0.0,0.0,0.0,0.028682969510555267,0.2720336616039276,0.0,0.27782920002937317,0.0,0.0,0.2757474482059479,0.0,0.3353884816169739,0.28054431080818176,0.27208319306373596,0.0,0.22296488285064697,0.0,0.0,0.0,0.2551766633987427,0.2796577513217926,0.0,0.0,0.28575634956359863,0.0
3,normal,window_typing_10000.csv,0,0.6678935289382935,1.1520961606947822e-06,0.00017826465773396194,1.2863866090774536,3.0127992630004883,0.0,0.28231215476989746,0.2878029942512512,0.0,0.2768401801586151,0.0,0.0,0.0,0.0,0.0,0.02026453986763954,0.2687932550907135,0.0,0.2743210792541504,0.0,0.0,0.2669510245323181,0.0,0.33086222410202026,0.2823293209075928,0.27425500750541687,0.0,0.22024181485176086,0.0,0.0,0.0,0.2596893906593323,0.2872075140476227,0.0,0.0,0.2807573974132538,0.0
4,normal,window_typing_10000.csv,0,0.6110706925392151,1.1563924999791197e-06,0.00018393798382021487,1.2919130325317383,3.012058734893799,0.0,0.28380057215690613,0.2839291989803314,0.0,0.2757888436317444,0.0,0.0,0.0,0.0,0.0,0.022479740902781487,0.27100080251693726,0.0,0.27640849351882935,0.0,0.0,0.2681647837162018,0.0,0.33028480410575867,0.2834976613521576,0.276091992855072,0.0,0.21885773539543152,0.0,0.0,0.0,0.2586609423160553,0.28181877732276917,0.0,0.0,0.2839180827140808,0.0
5,normal,window_typing_10000.csv,0,0.5753450393676758,1.1257427559030475e-06,0.00017446663696318865,1.2867138385772705,3.0174343585968018,0.0,0.28332823514938354,0.28796815872192383,0.0,0.2767762839794159,0.0,0.0,0.0,0.0,0.0,0.017939239740371704,0.2724230885505676,0.0,0.2729766070842743,0.0,0.0,0.2624303698539734,0.0,0.3250178098678589,0.28515133261680603,0.28279465436935425,0.0,0.2166673094034195,0.0,0.0,0.0,0.2631379961967468,0.28549855947494507,0.0,0.0,0.278668075799942,0.0
6,normal,window_typing_10000.csv,0,0.5609351992607117,1.0621182582326583e-06,0.0001764477783581242,1.2884138822555542,3.016875743865967,0.0,0.2848842442035675,0.2841687798500061,0.0,0.27485352754592896,0.0,0.0,0.0,0.0,0.0,0.01774469204246998,0.2696205973625183,0.0,0.27611252665519714,0.0,0.0,0.26530739665031433,0.0,0.3203160762786865,0.28540632128715515,0.28849732875823975,0.0,0.21460175514221191,0.0,0.0,0.0,0.26427358388900757,0.27737540006637573,0.0,0.0,0.2877272069454193,0.0
7,normal,window_typing_10000.csv,0,0.5458890199661255,9.980856248148484e-07,0.0001491170551162213,1.279735803604126,3.0418617725372314,0.0,0.2833625078201294,0.2814044952392578,0.0,0.28433242440223694,0.0,0.0,0.0,0.0,0.0,0.006566249765455723,0.2709996700286865,0.0,0.2770865857601166,0.0,0.0,0.2455129623413086,0.0,0.3124224841594696,0.2883812487125397,0.2978476583957672,0.0,0.21331557631492615,0.0,0.0,0.0,0.27180758118629456,0.2825688123703003,0.0,0.0,0.28358781337738037,0.0
8,normal,window_typing_10000.csv,0,0.5315427780151367,9.444730153518321e-07,0.00013743311865255237,1.278432846069336,3.056879997253418,0.0,0.2829055190086365,0.2788586914539337,0.0,0.28800109028816223,0.0,0.0,0.0,0.0,0.0,0.0033713020384311676,0.2745368778705597,0.0,0.2785148620605469,0.0,0.0,0.23101671040058136,0.0,0.30605778098106384,0.2917652726173401,0.3023398518562317,0.0,0.213497132062912,0.0,0.0,0.0,0.27652084827423096,0.28012606501579285,0.0,0.0,0.28672894835472107,0.0
9,normal,window_typing_10000.csv,0,0.5136427879333496,9.290866387345886e-07,0.00013237440725788474,1.2745296955108643,3.060478448867798,0.0,0.28115761280059814,0.28107863664627075,0.0,0.2875862717628479,0.0,0.0,0.0,0.0,0.0,0.002179792383685708,0.27450260519981384,0.0,0.2784463167190552,0.0,0.0,0.22561132907867432,0.0,0.30611783266067505,0.28948116302490234,0.3064830005168915,0.0,0.21480678021907806,0.0,0.0,0.0,0.27611109614372253,0.282297283411026,0.0,0.0,0.28625112771987915,0.0
