method,tp,tn,fp,fn,accuracy,precision,recall_attack_detection_rate,f1,normal_false_positive_rate
classifier_prob_0.5,1000,10013,0,2000,0.8463075386152309,1.0,0.3333333333333333,0.5,0.0
prototype_prob_0.5,1000,10013,0,2000,0.8463075386152309,1.0,0.3333333333333333,0.5,0.0
recon_90,1000,9011,1002,2000,0.7693076154614616,0.4995004995004995,0.3333333333333333,0.39984006397441024,0.10006990911814641
recon_95,1000,9512,501,2000,0.8078075770383463,0.6662225183211192,0.3333333333333333,0.44434570095534326,0.050034954559073204
recon_99,1000,9912,101,2000,0.8385460693153001,0.9082652134423251,0.3333333333333333,0.48768593026091195,0.01008688704683911
latent_dist_90,1000,9011,1002,2000,0.7693076154614616,0.4995004995004995,0.3333333333333333,0.39984006397441024,0.10006990911814641
latent_dist_95,1000,9512,501,2000,0.8078075770383463,0.6662225183211192,0.3333333333333333,0.44434570095534326,0.050034954559073204
latent_dist_99,1000,9912,101,2000,0.8385460693153001,0.9082652134423251,0.3333333333333333,0.48768593026091195,0.01008688704683911
oracle_or95_balanced,1000,9512,501,2000,0.8078075770383463,0.6662225183211192,0.3333333333333333,0.44434570095534326,0.050034954559073204
oracle_or90_aggressive,1000,9011,1002,2000,0.7693076154614616,0.4995004995004995,0.3333333333333333,0.39984006397441024,0.10006990911814641
oracle_or95_with_latent,1000,9043,970,2000,0.7717666948436179,0.5076142131979695,0.3333333333333333,0.40241448692152915,0.09687406371716768
