detector,signal,V4,V5,V6,V7,V8_candidate,V8_hardest
d0,classifier_only,19.27,0.0,0.0,0.0,0.88,0.0
d0,prototype_only,18.75,0.0,0.0,0.0,0.87,0.0
d0,hybrid_or95,45.57,0.0,0.0,0.0,14.59,0.0
d0,hybrid_or90,73.44,0.0,12.32,0.0,20.61,0.0
d1,classifier_only,100.0,100.0,0.0,0.0,17.49,0.0
d1,prototype_only,100.0,100.0,0.0,0.0,17.4,0.0
d1,hybrid_or95,100.0,100.0,0.0,0.0,29.15,0.0
d1,hybrid_or90,100.0,100.0,0.0,0.0,32.82,0.0
d2,classifier_only,100.0,100.0,100.0,0.0,97.85,77.6
d2,prototype_only,100.0,100.0,100.0,0.0,97.81,77.4
d2,hybrid_or95,100.0,100.0,100.0,0.0,97.87,77.6
d2,hybrid_or90,100.0,100.0,100.0,0.0,97.88,77.6
d3,classifier_only,100.0,100.0,100.0,100.0,100.0,100.0
d3,prototype_only,100.0,100.0,100.0,100.0,100.0,100.0
d3,hybrid_or95,100.0,100.0,100.0,100.0,100.0,100.0
d3,hybrid_or90,100.0,100.0,100.0,100.0,100.0,100.0
