candidate_id,seed_idx,seed_dir,seed_file,strategy,alpha,global_index,group,source_file,true_label,reconstruction_error,classifier_attack_probability,prototype_attack_probability,distance_to_normal_prototype,distance_to_attack_prototype,latent_norm,pred_classifier,pred_prototype,pred_recon_90,pred_recon_95,pred_recon_99,pred_latent_dist_90,pred_latent_dist_95,pred_latent_dist_99,pred_or95,pred_or90,pred_or95_with_latent,d3_attack_score
4571,152,data/attack/AdaptiveMimic_v7_D2_OR90_bypass_test,v7_or90_test.csv,blend_mean,0.97,14584,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0497095435857772,0.999987006187439,0.9989240765571594,3.056168794631958,1.6894668340682983,5.028400897979736,1,1,0,0,0,1,1,1,1,1,1,0.8980546105717109
4451,148,data/attack/AdaptiveMimic_v6_D1_OR90_bypass_test,v6_or90_test.csv,blend_mean,0.9,14464,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0504166409373283,0.9999871253967284,0.9989364743232728,3.0563173294067383,1.6872985363006592,5.026609420776367,1,1,0,0,0,1,1,1,1,1,1,0.8980816523467097
4561,152,data/attack/AdaptiveMimic_v7_D2_OR90_bypass_test,v7_or90_test.csv,blend_mean,0.9,14574,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0488516800105571,0.9999868869781494,0.9989325404167176,3.0575733184814453,1.6892845630645752,5.0251569747924805,1,1,0,0,0,1,1,1,1,1,1,0.898082238345632
4461,148,data/attack/AdaptiveMimic_v6_D1_OR90_bypass_test,v6_or90_test.csv,blend_mean,0.97,14474,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0492293201386928,0.99998676776886,0.9989363551139832,3.0587635040283203,1.689768671989441,5.022134780883789,1,1,0,0,0,1,1,1,1,1,1,0.8981312508139817
4441,148,data/attack/AdaptiveMimic_v6_D1_OR90_bypass_test,v6_or90_test.csv,blend_mean,0.8,14454,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0544935502111911,0.9999868869781494,0.9989262223243712,3.056565761566162,1.6894577741622925,5.024664878845215,1,1,0,0,0,1,1,1,1,1,1,0.8981849284164105
9831,327,data/attack/FeatureGuideHumanMimic,window4.csv,blend_mean,0.97,19844,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0494872331619262,0.9999871253967284,0.9989510774612428,3.060445785522461,1.688661813735962,5.026288986206055,1,1,0,0,0,1,1,1,1,1,1,0.89819773972898
4581,152,data/attack/AdaptiveMimic_v7_D2_OR90_bypass_test,v7_or90_test.csv,blend_mean,0.35,14594,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0548205450177192,0.9999866485595704,0.9989113807678224,3.057371139526367,1.6930150985717771,5.022743225097656,1,1,0,0,0,1,1,1,1,1,1,0.8982128054279297
7421,247,data/attack/AdaptiveMimic_v7_D2_OR90_bypass_test,v7_or90_test.csv,blend_mean,0.9,17434,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0509209372103214,0.9999868869781494,0.9989343285560608,3.060426712036133,1.6918045282363892,5.026103496551514,1,1,0,0,0,1,1,1,1,1,1,0.8982253119958897
9821,327,data/attack/FeatureGuideHumanMimic,window4.csv,blend_mean,0.97,19834,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0493377745151519,0.999987244606018,0.9989491105079652,3.0616989135742188,1.6902843713760376,5.027824401855469,1,1,0,0,0,1,1,1,1,1,1,0.8982337006363643
14048,468,data/attack/AdaptiveMimic_v6_D1_OR90_bypass_test,v6_or90_test.csv,median_pull,0.2,24061,AdaptiveMimic_v8_candidate,v8_candidates.csv,1,0.0469212420284748,0.999987244606018,0.9989583492279052,3.0638253688812256,1.690648913383484,5.028361797332764,1,1,0,0,0,1,1,1,1,1,1,0.8982468995539137
