tsne_1,tsne_2,label
21.687174,15.291218,normal
25.232824,3.4555237,normal
-43.563786,4.1186633,normal
9.905758,-8.907069,normal
6.8870573,10.908972,normal
32.55251,3.3183777,normal
10.938761,-7.318069,normal
22.994007,2.846621,normal
24.861048,0.95755893,normal
15.704462,-2.0475113,normal
12.694875,-8.42568,normal
24.442123,-0.47064593,normal
19.409927,10.523039,normal
11.144037,-3.8522453,normal
4.659466,-13.740761,normal
8.078699,8.596507,normal
29.027685,6.1060343,normal
22.391207,-1.26736,normal
21.268782,-3.8046386,normal
6.3835692,15.294123,normal
9.547343,-6.1314483,normal
29.820724,11.124086,normal
34.663624,13.044815,normal
16.456343,-6.0375633,normal
13.689373,-9.048283,normal
23.630922,9.440442,normal
9.8400955,-16.531515,normal
22.752993,0.468103,normal
15.66727,-3.1137054,normal
18.591133,-2.7936604,normal
29.897995,9.590808,normal
31.310455,8.923521,normal
8.975727,5.9196873,normal
15.493243,4.841995,normal
16.549053,-12.285571,normal
14.884493,-15.415737,normal
1.9377031,-13.385934,normal
25.493431,4.2674146,normal
29.246689,-8.569915,normal
9.535277,7.0676856,normal
15.3144455,-10.919187,normal
20.139309,-1.9057194,normal
23.050632,14.103468,normal
0.43608025,6.3792334,normal
13.081714,6.7743545,normal
31.87478,11.42892,normal
12.078013,-1.9529098,normal
14.224381,12.40887,normal
10.687187,0.2183341,normal
2.9714136,-0.45819297,normal
18.623423,1.6985343,normal
22.245165,2.8848007,normal
12.817526,-1.5084351,normal
25.003386,-7.649642,normal
13.470311,-18.720297,normal
33.02096,2.5009768,normal
10.590528,-10.534739,normal
11.838393,22.995394,normal
14.488997,4.489308,normal
21.96348,5.2232523,normal
22.560017,1.5046829,normal
32.106762,-11.903613,normal
18.189493,-7.390251,normal
22.513716,-1.9450572,normal
35.839954,2.8159444,normal
22.089966,-9.820711,normal
36.921387,10.671485,normal
24.497152,13.712437,normal
22.24632,4.078878,normal
10.826575,20.966282,normal
5.257536,-6.4687185,normal
31.126207,12.840654,normal
16.891768,1.7709125,normal
23.156363,15.658636,normal
24.568335,4.185519,normal
14.928394,-1.3338926,normal
19.469667,-6.1162558,normal
12.562194,16.1189,normal
-14.103658,-4.72993,normal
17.386993,-2.4888818,normal
15.64091,9.545766,normal
13.53287,-6.172001,normal
0.60846245,-14.417843,normal
34.35363,-1.0563238,normal
10.446669,12.4165945,normal
22.828138,7.7381005,normal
12.031217,22.373034,normal
21.960154,-16.056791,normal
31.678324,-11.674442,normal
7.231832,0.9004518,normal
8.864849,-13.163751,normal
4.234982,-14.818251,normal
10.475022,12.48813,normal
20.316435,10.431055,normal
21.59634,2.0974164,normal
17.477016,15.562567,normal
22.742424,6.5250654,normal
34.470825,-0.078590296,normal
20.96361,7.7890487,normal
1.5481368,-14.4693985,normal
30.744774,5.149479,normal
12.21349,-14.290933,normal
9.778821,10.430977,normal
30.57435,5.803516,normal
19.322004,8.721675,normal
29.008436,-4.8281293,normal
18.434643,-19.857697,normal
13.042028,18.657095,normal
35.28116,6.4355435,normal
14.974724,7.0943823,normal
3.0319593,-0.4440984,normal
15.963047,21.070831,normal
36.118683,12.3476,normal
19.282442,12.866564,normal
15.497223,-10.365262,normal
3.7175684,6.790226,normal
26.636074,1.5128155,normal
29.72602,9.296375,normal
6.662082,-6.6368017,normal
36.050446,13.343815,normal
20.789762,23.095333,normal
17.074284,15.386834,normal
16.492994,10.387249,normal
6.1756496,3.64944,normal
10.070352,5.13245,normal
27.37869,5.2574315,normal
15.259904,17.34627,normal
18.015541,-13.810515,normal
27.795443,-5.0096908,normal
18.946268,14.981154,normal
14.1453085,9.921847,normal
19.377964,-0.9247248,normal
17.37326,4.033641,normal
5.302501,2.5072432,normal
34.45637,0.18059544,normal
11.502807,10.499961,normal
15.779488,11.49052,normal
13.964018,15.687721,normal
22.66103,-15.610228,normal
9.446017,23.14318,normal
11.644419,-11.797815,normal
16.348785,-8.134428,normal
28.77642,4.5782685,normal
27.53112,3.8517406,normal
18.39233,5.6741753,normal
23.381302,-15.75532,normal
16.234037,-1.0726635,normal
-2.145522,-4.567635,normal
21.768835,-6.2990046,normal
29.351574,0.45812112,normal
21.797306,-11.7957945,normal
15.224425,-7.5470605,normal
3.8866277,7.496595,normal
11.248251,-1.6540114,normal
27.60477,9.093713,normal
