method,tp,tn,fp,fn,accuracy,precision,recall_attack_detection_rate,f1,normal_false_positive_rate
recon90_only,269,9011,1002,115,0.8925651630277964,0.2116443745082612,0.7005208333333334,0.32507552870090634,0.10006990911814641
recon95_only,140,9512,501,244,0.9283447148215831,0.21840873634945399,0.3645833333333333,0.2731707317073171,0.050034954559073204
recon99_only,0,9912,101,384,0.9533519284408964,0.0,0.0,0.0,0.01008688704683911
classifier_only,74,10013,0,310,0.9701837068385111,1.0,0.19270833333333334,0.3231441048034935,0.0
prototype_only,72,10013,0,312,0.969991343656824,1.0,0.1875,0.3157894736842105,0.0
or_cls_proto_recon95,175,9512,501,209,0.9317110705011061,0.2588757396449704,0.4557291666666667,0.330188679245283,0.050034954559073204
or_cls_proto_recon90,282,9011,1002,102,0.8938155237087622,0.21962616822429906,0.734375,0.3381294964028777,0.10006990911814641
fusion_score_recon_cls_normal_q90_0.709049,282,9011,1002,102,0.8938155237087622,0.21962616822429906,0.734375,0.3381294964028777,0.10006990911814641
fusion_score_recon_cls_normal_q95_1.000001,174,9512,501,210,0.9316148889102626,0.2577777777777778,0.453125,0.32861189801699714,0.050034954559073204
fusion_score_recon_cls_normal_q99_2.487350,11,9912,101,373,0.954409925940175,0.09821428571428571,0.028645833333333332,0.04435483870967742,0.01008688704683911
fusion_score_recon_proto_normal_q90_0.709134,281,9011,1002,103,0.8937193421179186,0.2190179267342167,0.7317708333333334,0.3371325734853029,0.10006990911814641
fusion_score_recon_proto_normal_q95_1.000111,173,9512,501,211,0.9315187073194191,0.25667655786350146,0.4505208333333333,0.3270321361058601,0.050034954559073204
fusion_score_recon_proto_normal_q99_2.487414,11,9912,101,373,0.954409925940175,0.09821428571428571,0.028645833333333332,0.04435483870967742,0.01008688704683911
fusion_score_recon_cls_proto_normal_q90_0.709135,282,9011,1002,102,0.8938155237087622,0.21962616822429906,0.734375,0.3381294964028777,0.10006990911814641
fusion_score_recon_cls_proto_normal_q95_1.000111,175,9512,501,209,0.9317110705011061,0.2588757396449704,0.4557291666666667,0.330188679245283,0.050034954559073204
fusion_score_recon_cls_proto_normal_q99_2.487415,71,9912,101,313,0.9601808213907858,0.4127906976744186,0.18489583333333334,0.25539568345323743,0.01008688704683911
fusion_score_all_normal_q90_0.809147,263,9011,1002,121,0.8919880734827355,0.20790513833992094,0.6848958333333334,0.31898120072771374,0.10006990911814641
fusion_score_all_normal_q95_1.068667,157,9512,501,227,0.9299798018659229,0.23860182370820668,0.4088541666666667,0.30134357005758156,0.050034954559073204
fusion_score_all_normal_q99_2.534582,77,9912,101,307,0.9607579109358468,0.43258426966292135,0.20052083333333334,0.2740213523131673,0.01008688704683911
