method,tp,tn,fp,fn,accuracy,precision,recall_attack_detection_rate,f1,normal_false_positive_rate
classifier_prob_0.5,0,10013,0,1000,0.9091982202851175,0.0,0.0,0.0,0.0
prototype_prob_0.5,0,10013,0,1000,0.9091982202851175,0.0,0.0,0.0,0.0
recon_90,0,9011,1002,1000,0.8182148370108054,0.0,0.0,0.0,0.10006990911814641
recon_95,0,9512,501,1000,0.8637065286479615,0.0,0.0,0.0,0.050034954559073204
recon_99,0,9912,101,1000,0.9000272405339145,0.0,0.0,0.0,0.01008688704683911
latent_dist_90,0,9011,1002,1000,0.8182148370108054,0.0,0.0,0.0,0.10006990911814641
latent_dist_95,0,9512,501,1000,0.8637065286479615,0.0,0.0,0.0,0.050034954559073204
latent_dist_99,0,9912,101,1000,0.9000272405339145,0.0,0.0,0.0,0.01008688704683911
oracle_or95_balanced,0,9512,501,1000,0.8637065286479615,0.0,0.0,0.0,0.050034954559073204
oracle_or90_aggressive,0,9011,1002,1000,0.8182148370108054,0.0,0.0,0.0,0.10006990911814641
oracle_or95_with_latent,0,9043,970,1000,0.8211204939616816,0.0,0.0,0.0,0.09687406371716768
