method,tp,tn,fp,fn,accuracy,precision,recall_attack_detection_rate,f1,normal_false_positive_rate
classifier_prob_0.5,0,10013,0,1672,0.8569105691056911,0.0,0.0,0.0,0.0
prototype_prob_0.5,0,10013,0,1672,0.8569105691056911,0.0,0.0,0.0,0.0
recon_90,29,9011,1002,1643,0.7736414206247325,0.028128031037827354,0.017344497607655503,0.02145763965963744,0.10006990911814641
recon_95,0,9512,501,1672,0.8140350877192982,0.0,0.0,0.0,0.050034954559073204
recon_99,0,9912,101,1672,0.8482670089858794,0.0,0.0,0.0,0.01008688704683911
latent_dist_90,0,9011,1002,1672,0.7711596063329055,0.0,0.0,0.0,0.10006990911814641
latent_dist_95,0,9512,501,1672,0.8140350877192982,0.0,0.0,0.0,0.050034954559073204
latent_dist_99,0,9912,101,1672,0.8482670089858794,0.0,0.0,0.0,0.01008688704683911
oracle_or95_balanced,0,9512,501,1672,0.8140350877192982,0.0,0.0,0.0,0.050034954559073204
oracle_or90_aggressive,29,9011,1002,1643,0.7736414206247325,0.028128031037827354,0.017344497607655503,0.02145763965963744,0.10006990911814641
oracle_or95_with_latent,0,9043,970,1672,0.773898160034232,0.0,0.0,0.0,0.09687406371716768
