method,tp,tn,fp,fn,accuracy,precision,recall_attack_detection_rate,f1,normal_false_positive_rate
classifier_prob_0.5,0,10013,0,1254,0.8887015177065767,0.0,0.0,0.0,0.0
prototype_prob_0.5,0,10013,0,1254,0.8887015177065767,0.0,0.0,0.0,0.0
recon_90,0,9011,1002,1254,0.7997692375965209,0.0,0.0,0.0,0.10006990911814641
recon_95,0,9512,501,1254,0.8442353776515488,0.0,0.0,0.0,0.050034954559073204
recon_99,0,9912,101,1254,0.879737285879116,0.0,0.0,0.0,0.01008688704683911
latent_dist_90,0,9011,1002,1254,0.7997692375965209,0.0,0.0,0.0,0.10006990911814641
latent_dist_95,0,9512,501,1254,0.8442353776515488,0.0,0.0,0.0,0.050034954559073204
latent_dist_99,0,9912,101,1254,0.879737285879116,0.0,0.0,0.0,0.01008688704683911
oracle_or95_balanced,0,9512,501,1254,0.8442353776515488,0.0,0.0,0.0,0.050034954559073204
oracle_or90_aggressive,0,9011,1002,1254,0.7997692375965209,0.0,0.0,0.0,0.10006990911814641
oracle_or95_with_latent,0,9043,970,1254,0.8026093902547262,0.0,0.0,0.0,0.09687406371716768
